Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source,EID
Fractional geometric mean-reversion processes,2011,Journal of Mathematical Analysis and Applications,380,1,,396,402,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953729035&partnerID=40&md5=9c8d68141e8cf56859243d4e157f81a3,Article,Scopus,2-s2.0-79953729035
Well-posedness without semicontinuity for parametric quasiequilibria and quasioptimization,2011,Computers and Mathematics with Applications,62,4,,2045,2057,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051781275&partnerID=40&md5=b7cebae683aef7d2a9c41edaa2c6b303,Article,Scopus,2-s2.0-80051781275
"Study on biological characteristics of heterotrophic marine microalga-schizochytrium mangrovei pq6 isolated from phu quoc island, kien giang province, vietnam",2011,Journal of Phycology,47,4,,944,954,,9,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960734135&partnerID=40&md5=32059cb313271fa026ec5b9fd30af3f6,Article,Scopus,2-s2.0-79960734135
"Measurement of thermal neutron cross-section and resonance integrals of the 69Ga(n,É¡)70Ga(n,É¡)72Ga reactions at dalat research reactor",2011,Journal of the Korean Physical Society,59,23,,1761,1764,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052230947&partnerID=40&md5=b2cb79306746818d3d3e573f7c51b85f,Article,Scopus,2-s2.0-80052230947
"Determination of natural uranium, thorium and radium isotopes in water and soil samples by alpha spectroscopy",2011,Kerntechnik,76,4,,285,291,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052828831&partnerID=40&md5=9c50cf5b659152470053ea2d46e39580,Article,Scopus,2-s2.0-80052828831
Some calibrated surfaces in manifolds with density,2011,Journal of Geometry and Physics,61,8,,1625,1629,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955491040&partnerID=40&md5=bfd5cea895fb25a0e6a77e1c11701f56,Article,Scopus,2-s2.0-79955491040
Using service convenience to reduce perceived cost,2011,Marketing Intelligence and Planning,29,5,,473,487,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79961132993&partnerID=40&md5=d191c129cb48a6cacb4c310fb14cc566,Article,Scopus,2-s2.0-79961132993
"Capture cross section measurements of 185,187Re with filtered neutron beams at the dalat research reactor",2011,Journal of the Korean Physical Society,59,23,,1757,1760,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052210871&partnerID=40&md5=3fcae1b5abde8b79c66342a2e31a0367,Article,Scopus,2-s2.0-80052210871
Maximum Reduced Proper Motion method: Detection of new nearby ultracool dwarfs,2011,Astronomische Nachrichten,332,7,,668,675,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051937877&partnerID=40&md5=2eb7153c33f4432cb282a83bbe70cbb7,Article,Scopus,2-s2.0-80051937877
Electronic band structures of graphene nanoribbons with self-passivating edge reconstructions,2011,Journal of Physics Condensed Matter,23,29,295503,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960622885&partnerID=40&md5=23dab14a43e0afefc1bf573257d2be8f,Article,Scopus,2-s2.0-79960622885
"Preparation and antitumor-promoting activity of curcumin encapsulated by 1,3-É¿-glucan isolated from Vietnam medicinal mushroom hericium erinaceum",2011,Chemistry Letters,40,8,,846,848,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960469844&partnerID=40&md5=9d22b420a416da663fde5121679b637b,Article,Scopus,2-s2.0-79960469844
Virulence factors in Escherichia coli isolated from calves with diarrhea in Vietnam,2011,Journal of Veterinary Science,12,2,,159,164,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960457353&partnerID=40&md5=6fbcb9ee88b8626fd0d6918f4b594234,Article,Scopus,2-s2.0-79960457353
Traveling waves of an elliptic-hyperbolic model of phase transitions via varying viscosity-capillarity,2011,Journal of Differential Equations,251,2,,439,456,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955724908&partnerID=40&md5=506ffce40749502293390d5695900aef,Article,Scopus,2-s2.0-79955724908
Joint remote preparation of four-qubit cluster-type states revisited,2011,"Journal of Physics B: Atomic, Molecular and Optical Physics",44,13,135506,,,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959777492&partnerID=40&md5=f47a2e56176017577cfd086efec3fe7f,Article,Scopus,2-s2.0-79959777492
Generalize some norm inequalities of saitoh,2011,Kodai Mathematical Journal,34,2,,191,201,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960087095&partnerID=40&md5=90cbe8805da20cbbb93d8db5fc446802,Article,Scopus,2-s2.0-79960087095
"On the SO(10, 2) dynamical symmetry group of the MICZ-Kepler problem in a nine-dimensional space",2011,Journal of Mathematical Physics,52,7,72101,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960929006&partnerID=40&md5=888358c845360bdbf17be057c66e6795,Article,Scopus,2-s2.0-79960929006
Design of carboxylated Fe3O4/poly(styrene-co-acrylic acid) ferrofluids with highly efficient magnetic heating effect,2011,Colloids and Surfaces A: Physicochemical and Engineering Aspects,384,1åé3ì˙,,23,30,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959811436&partnerID=40&md5=33d7fe34fbf47e48f42f98640191ab0c,Article,Scopus,2-s2.0-79959811436
Transport properties of a spin-polarized quasi-two-dimensional electron gas in an InP/In1-xGaxAs/InP quantum well including temperature effects,2011,Physica E: Low-Dimensional Systems and Nanostructures,43,9,,1712,1716,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959893809&partnerID=40&md5=b502fe58c69edc33c8e6a60a25f96cf5,Article,Scopus,2-s2.0-79959893809
"Reaction of N-(Per-O-acetyl-É¿-D-glucopyranosyl)-NÅå-(4',6'- diarylpyrimidine-2'-yl)thioureas with ethyl bromoacetate",2011,E-Journal of Chemistry,8,3,,1355,1361,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960637847&partnerID=40&md5=4512ad53e2a151d3d6b5749406f2e29c,Article,Scopus,2-s2.0-79960637847
Using malolactic fermentation with acid- and ethanol- adapted Oenococcus oeni strain to improve the quality of wine from champs bourcin grape in Sapa - Lao cai,2011,"World Academy of Science, Engineering and Technology",79,,,655,658,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960789318&partnerID=40&md5=7173bc699a25defc86b437b6537be97e,Article,Scopus,2-s2.0-79960789318
"Assessment of surface water quality by water quality index (wqi) at the cai sao canal, an giang province, Vietnam",2011,Livestock Research for Rural Development,23,7,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960023102&partnerID=40&md5=1ecf771aab9cf819bc126cdc69476060,Article,Scopus,2-s2.0-79960023102
On the stability and controllability of fuzzy control set differential equations,2011,International Journal of Reliability and Safety,5,3åé4ì˙,,320,335,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960279390&partnerID=40&md5=a5724d735b3d88c4b6f42e02e19d5180,Article,Scopus,2-s2.0-79960279390
"Factors influencing the release of arsenic, manganese and iron from sulfide and arsenide minerals to water environment",2011,EnvironmentAsia,4,2,,43,48,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051898217&partnerID=40&md5=d655ba96c7c39fedfd016e40af36b393,Article,Scopus,2-s2.0-80051898217
Development of pandemic influenza vaccine production capacity in Viet Nam,2011,Vaccine,29,SUPPL. 1,,A34,A36,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959194086&partnerID=40&md5=0b0ec9b555f3fa676489d81d4b5807ea,Article,Scopus,2-s2.0-79959194086
Convergence rates for total variation regularization of coefficient identification problems in elliptic equations i,2011,Inverse Problems,27,7,75008,,,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959711343&partnerID=40&md5=38412cc7eac9d3d5bc85bb1e68c3cfbe,Article,Scopus,2-s2.0-79959711343
"Effect of mimosa pigra and water spinach (ipomoea aquatica) on intake, digestibility and growth of goats in the mekong delta, vietnam",2011,Livestock Research for Rural Development,23,7,,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960008659&partnerID=40&md5=e7f4c64adb5e7fda316656b458689334,Article,Scopus,2-s2.0-79960008659
New method of searching for cosmological time variation of the fine-structure constant,2011,Progress of Theoretical Physics,126,1,,177,184,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052063502&partnerID=40&md5=546ffb81f55a736ba899a15ec951c251,Article,Scopus,2-s2.0-80052063502
ÉŒ-Mappings in ls-Ponomarev-systems,2011,Archivum Mathematicum,47,1,,35,49,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959655045&partnerID=40&md5=71211bcf0c2fa38fbe9a0a7fddb531f1,Article,Scopus,2-s2.0-79959655045
Amniotic membrane transplantation for Mooren's ulcer,2011,Clinical and Experimental Ophthalmology,39,5,,386,392,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960275915&partnerID=40&md5=88167f436603dccc30c9d63b004254c2,Article,Scopus,2-s2.0-79960275915
Synergistic degradation to prepare oligochitosan by É¡-irradiation of chitosan solution in the presence of hydrogen peroxide,2011,Radiation Physics and Chemistry,80,7,,848,853,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955020361&partnerID=40&md5=d15e4350e214b4cde7a2f97633992514,Article,Scopus,2-s2.0-79955020361
"Cloning, high-level expression and characterization of a É¿-galactosidase from Bacillus subtilis G1",2011,Australian Journal of Basic and Applied Sciences,5,7,,193,199,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960527786&partnerID=40&md5=efd1fecfd7f2e4e0a1a3e120b3de6bfe,Article,Scopus,2-s2.0-79960527786
A new topological minimax theorem with application,2011,Journal of Global Optimization,50,3,,371,378,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051668529&partnerID=40&md5=9a175dc222eb4956c66a3f1b29587625,Article,Scopus,2-s2.0-80051668529
Applying a fixed point theorem of Krasnosel'skii type to the existence of asymptotically stable solutions for a Volterra-Hammerstein integral equation,2011,"Nonlinear Analysis, Theory, Methods and Applications",74,11,,3769,3774,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955567701&partnerID=40&md5=9db9073b5368c963b7de48be5ec91833,Article,Scopus,2-s2.0-79955567701
An implicit iteration method for variational inequalities over the set of common fixed points for a finite family of nonexpansive mappings in Hilbert spaces,2011,Fixed Point Theory and Applications,2011,,276859,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959255818&partnerID=40&md5=71a3a89e5de87e19e2fe68095e28160a,Article,Scopus,2-s2.0-79959255818
On the dynamics of nonautonomous parabolic systems involving the grushin operators,2011,International Journal of Mathematics and Mathematical Sciences,2011,,178057,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959275827&partnerID=40&md5=71d80dd8fd368c83f685d5433ab8f721,Article,Scopus,2-s2.0-79959275827
Cervical human papilloma virus infection among the general female population in Vietnam: A situation analysis,2011,Asian Pacific Journal of Cancer Prevention,12,2,,561,566,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958826996&partnerID=40&md5=9ab5828083f4203179998e5c4696e607,Article,Scopus,2-s2.0-79958826996
"Ecological factors associated with dengue fever in a central highlands province, Vietnam",2011,BMC Infectious Diseases,11,,172,,,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959283750&partnerID=40&md5=a3b68ab670568183f2c9cf0627887830,Article,Scopus,2-s2.0-79959283750
Twostep-by-twostep continuous PIRKN-type PC methods for nonstiff IVPs,2011,Applied Mathematics and Computation,217,20,,8010,8019,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956108467&partnerID=40&md5=2e4bdab4cce755cc5fc95f2096aaa294,Article,Scopus,2-s2.0-79956108467
"Guttiferones Q-S, cytotoxic polyisoprenylated benzophenones from the pericarp of Garcinia cochinchinensis",2011,Phytochemistry Letters,4,2,,129,133,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-79957472827&partnerID=40&md5=85b92505ef779d0bf943f275fca6dfe0,Article,Scopus,2-s2.0-79957472827
Dead-layer thickness effect for gamma spectra measured in an HPGe p-type detector,2011,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",641,1,,101,104,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79957469975&partnerID=40&md5=961aada9d30e0c3b946416e906dc7078,Article,Scopus,2-s2.0-79957469975
Multiplicity and Cohen-Macaulayness of fiber cones of good filtrations,2011,Kyushu Journal of Mathematics,65,1,,1,13,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958037675&partnerID=40&md5=7a53522967619f34fa1b732922ea2f88,Article,Scopus,2-s2.0-79958037675
Synthesis of hybrid nanocomposite based on PbO2 and polyaniline coated onto stainless steel by cyclic voltammetry,2011,Asian Journal of Chemistry,23,8,,3445,3448,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958043770&partnerID=40&md5=0b1e086cdba41f75259163e2e9db17d7,Article,Scopus,2-s2.0-79958043770
"Synthesis, characterization and luminescent properties of Tb(III) doped Eu(III) complex nanoparticles",2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25015,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894140404&partnerID=40&md5=a38c3cc95357cbc206466575cfe8fd37,Article,Scopus,2-s2.0-84894140404
"SrTi 1-xFe xO 3 nanoparticle: A study of structural, optical, impedance and magnetic properties",2011,Journal of Experimental Nanoscience,6,3,,226,237,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-79957442876&partnerID=40&md5=24e0023afd9ea46e2b84654baaa38c70,Article,Scopus,2-s2.0-79957442876
Improving the efficacy of type 1 diabetes therapy by transplantation of immunoisolated insulin-producing cells,2011,Human Cell,24,2,,86,95,,11,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958046143&partnerID=40&md5=b7b19fb9c1c22cc886f8fefcb92ead20,Article,Scopus,2-s2.0-79958046143
On Turaev's theorem about Dijkgraaf-Witten invariants of surfaces,2011,Journal of Knot Theory and its Ramifications,20,6,,837,846,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959635963&partnerID=40&md5=3056f2686eadd87d83251b39c85f9c41,Article,Scopus,2-s2.0-79959635963
Thermal dissipation media for high power electronic devices using a carbon nanotube-based composite,2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25002,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894176845&partnerID=40&md5=88c5cd6029003862f86ae84c62bb0d30,Article,Scopus,2-s2.0-84894176845
Kronecker product and a new matrix form of Lagrangian equations with multipliers for constrained multibody systems,2011,Mechanics Research Communications,38,4,,294,299,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958005174&partnerID=40&md5=d876912ccb9d73f73ad5c32f34489cac,Article,Scopus,2-s2.0-79958005174
Investigation of positive electrode materials based on MnO2 for lithium batteries,2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25014,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894196080&partnerID=40&md5=ebe19586126f44ba79a7ab135767342f,Article,Scopus,2-s2.0-84894196080
The effect of TiO2 nanotubes on the sintering behavior and properties of PZT ceramics,2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25013,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894181652&partnerID=40&md5=d056a498d7404f883246523443da6cd4,Article,Scopus,2-s2.0-84894181652
Electron scattering from polarization charges bound on a rough interface of polar heterostructures,2011,Journal of Applied Physics,109,11,113711,,,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79959437629&partnerID=40&md5=8fa1bf8fc9b48c8cf65742dcdcba6178,Article,Scopus,2-s2.0-79959437629
Main Characteristics of Statistical Data and the Statistical System for Wood and Wood-processing Products in Vietnam,2011,Small-scale Forestry,10,2,,185,198,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955068030&partnerID=40&md5=b3b251c9a011c1b5c9fa5b732839c517,Article,Scopus,2-s2.0-79955068030
Revisiting Exports and Foreign Direct Investment in Vietnam,2011,Asian Economic Policy Review,6,1,,112,131,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958251227&partnerID=40&md5=7d47dfeee5847042b58633f91a67aa06,Article,Scopus,2-s2.0-79958251227
Verifying java object invariants at runtime,2011,International Journal of Software Engineering and Knowledge Engineering,21,4,,605,619,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052325900&partnerID=40&md5=c929c7168b7780c4fe458c9d323fbc6a,Article,Scopus,2-s2.0-80052325900
The medium-term impact of the primary education stipend in rural Bangladesh,2011,Journal of Development Effectiveness,3,2,,243,262,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84864531275&partnerID=40&md5=f4790ac57997923161cfeb949737a5eb,Article,Scopus,2-s2.0-84864531275
Characterization of immobilization methods of antiviral antibodies in serum for electrochemical biosensors,2011,Applied Surface Science,257,16,,7090,7095,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955598439&partnerID=40&md5=19db8d9da5b98fc448596cdec8ec87d4,Article,Scopus,2-s2.0-79955598439
Transpelvic anastomotic stenting: A good option for diversion after pyeloplasty in children,2011,Journal of Pediatric Urology,7,3,,363,366,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79958269360&partnerID=40&md5=d82d32c8482c2c11866fbf6a4a418ac6,Article,Scopus,2-s2.0-79958269360
Two regularization methods for backward heat problems with new error estimates,2011,Nonlinear Analysis: Real World Applications,12,3,,1720,1732,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79952624877&partnerID=40&md5=c849fe767ef6e8107585990b9e708962,Article,Scopus,2-s2.0-79952624877
Solasodine production from cell culture of Solanum hainanense hance,2011,Biotechnology and Bioprocess Engineering,16,3,,581,586,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052475156&partnerID=40&md5=959e8d7a5ac706ff43984a36b54cbdfe,Article,Scopus,2-s2.0-80052475156
"Synthesis and characterization of zinc-organic frameworks with 1,4-benzenedicarboxylic acid and azobenzene-4,40-dicarboxylic acid",2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25008,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894130875&partnerID=40&md5=6e01a93422c4730124547458c0b46e47,Article,Scopus,2-s2.0-84894130875
"Improvement of DeNOx catalytic activity of nanosized mixed oxides of La, Sr and Co by Ag doping",2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25005,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894195236&partnerID=40&md5=4a9fad0678e3a025df618fab21cbd3e6,Article,Scopus,2-s2.0-84894195236
Electrical conductivity and electromagnetic interference shielding characteristics of multiwalled carbon nanotube filled polyurethane composite films,2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25007,,,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-84872058643&partnerID=40&md5=343edfc0df87cf6c770d96f8ca461ac7,Article,Scopus,2-s2.0-84872058643
The effect of artificial boundary grain on the magneto- and electro-transport properties of (1-x)La0.7Ca0.3MnO 3 + xA (A = Al2O3 and Ag) nanocomposite,2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25003,,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894164804&partnerID=40&md5=a310917e17068a8848e654344e0add5c,Article,Scopus,2-s2.0-84894164804
Production of functional dendritic cells from menstrual blood-A new dendritic cell source for immune therapy,2011,In Vitro Cellular and Developmental Biology - Animal,47,5åé6ì˙,,368,375,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051667501&partnerID=40&md5=e54e1d35016e55b4d9290ec70b3c21bb,Article,Scopus,2-s2.0-80051667501
Temperature-dependent photoluminescence study of InP/ZnS quantum dots,2011,Advances in Natural Sciences: Nanoscience and Nanotechnology,2,2,25001,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-84864661399&partnerID=40&md5=75ca4d22bed984d1a66f6e6ca90f505b,Article,Scopus,2-s2.0-84864661399
A dual algorithm for shakedown analysis of plate bending,2011,International Journal for Numerical Methods in Engineering,86,7,,862,875,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79954604143&partnerID=40&md5=cb437698ec6e6c35174e796d7a91ead3,Article,Scopus,2-s2.0-79954604143
Application of immobilized yeast in bacterial cellulose to the repeated batch fermentation in wine-making,2011,International Food Research Journal,18,3,,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955999314&partnerID=40&md5=e570b9bee6cff46873dc49ac94d803cf,Article,Scopus,2-s2.0-79955999314
Improved reverse analysis for material characterization with dual sharp indenters,2011,International Journal of Solids and Structures,48,10,,1600,1609,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79952987546&partnerID=40&md5=e856b77cf1bd2fe7ba13cb1095555ca6,Article,Scopus,2-s2.0-79952987546
Influences of cobalt substitution and size effects on magnetic properties of coprecipitated Co-Fe ferrite nanoparticles,2011,Journal of Alloys and Compounds,509,19,,5919,5925,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953783164&partnerID=40&md5=4edd84214d33caa3340858323e412410,Article,Scopus,2-s2.0-79953783164
Calculation of the intensity-dependent absorption spectrum in two-dimensional electron systems,2011,Modern Physics Letters B,25,11,,863,872,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955436700&partnerID=40&md5=24a70cde0e88a21df543c8a1d30ec271,Article,Scopus,2-s2.0-79955436700
"Voltammetry study of the 2,4,6-trinitrotoluene conversion into the amine compounds using zero-valent iron",2011,Asian Journal of Chemistry,23,7,,3137,3139,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955533286&partnerID=40&md5=ee1c42c2096ed2260ff6a4baeb40fdbb,Article,Scopus,2-s2.0-79955533286
A strong limit theorem for sequences of blockwise and pairwise m-dependent random variables,2011,Bulletin of the Korean Mathematical Society,48,2,,343,351,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955422440&partnerID=40&md5=314ff363b5ea942e486891c5b778de37,Article,Scopus,2-s2.0-79955422440
Structural defects and thermodynamics of vitreous GeO2 nanoparticles,2011,Current Applied Physics,11,3,,303,310,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951673459&partnerID=40&md5=5a8002e447b5c7466f592b3f85adfbd7,Article,Scopus,2-s2.0-79951673459
Efficiency and productivity of hospitals in Vietnam,2011,"Journal of Health, Organisation and Management",25,2,,195,213,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955939128&partnerID=40&md5=8f7c50263f4ecd9d86ed4d28aa6756c2,Article,Scopus,2-s2.0-79955939128
Three improved variants of simulated annealing for optimising dorm room assignments,2011,International Journal of Intelligent Information and Database Systems,5,3,,296,312,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956143457&partnerID=40&md5=057ec3d0cff609c04b1059d27c174bc3,Article,Scopus,2-s2.0-79956143457
Analysis of two different techniques in the treatment of knee stiffness in swing phase due to fibrous rectus femoris muscle in children,2011,Journal of Pediatric Orthopaedics Part B,20,3,,164,172,,3,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955090588&partnerID=40&md5=107efd19924e9d83bd1194b8ea68a991,Article,Scopus,2-s2.0-79955090588
Homogenized equations of the linear elasticity theory in two-dimensional domains with interfaces highly oscillating between two circles,2011,Acta Mechanica,218,3åé4ì˙,,333,348,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955847733&partnerID=40&md5=3a6326b38aa6730cd877b8126a70ae79,Article,Scopus,2-s2.0-79955847733
Study of the essential oil of limnophila rugosa (Roth.) Merr. in the South of Vietnam,2011,Journal of Essential Oil-Bearing Plants,14,3,,366,372,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-80052864560&partnerID=40&md5=8272897b1f09a37ac9c85ac81173dc31,Article,Scopus,2-s2.0-80052864560
The East Asia security environment in the beginning of the twenty-first century and the adjustments in Vietnamese foreign policy,2011,Asia-Pacific Review,18,1,,98,107,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960498081&partnerID=40&md5=1216868c09c87ebd60bea924cadc01b3,Article,Scopus,2-s2.0-79960498081
Polymorphic analysis of mitochondrial 16S rRNA gene of two lizard species in Vietnam,2011,Russian Journal of Genetics,47,5,,621,624,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956117451&partnerID=40&md5=7e2911695696a1acc99bbc5f1dbfefa0,Article,Scopus,2-s2.0-79956117451
Is the laparoscopic operation as safe as open operation for choledochal cyst in children?,2011,Journal of Laparoendoscopic and Advanced Surgical Techniques,21,4,,367,370,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956119699&partnerID=40&md5=84f026320c228d754c81f8dbe54a52d2,Article,Scopus,2-s2.0-79956119699
"Analysis of the local ant fauna (Hymenoptera, Formicidae) in Southern Vietnam",2011,Entomological Review,91,2,,198,211,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956033151&partnerID=40&md5=da7335830f2e456f80278227ac5bfc96,Article,Scopus,2-s2.0-79956033151
Hybrid Ishikawa iterative methods for a nonexpansive semigroup in Hilbert space,2011,Computers and Mathematics with Applications,61,9,,2546,2554,,5,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955480958&partnerID=40&md5=b99061a315e7be398a0eecb45ee8befa,Article,Scopus,2-s2.0-79955480958
The relationship among parents and children in Vietnamese families nowadays,2011,Revista de Cercetare si Interventie Sociala,32,1,,131,139,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955132100&partnerID=40&md5=3c1774664ff42d4f210a9dfd67b3f956,Article,Scopus,2-s2.0-79955132100
Homogenization of rough two-dimensional interfaces separating two anisotropic solids,2011,"Journal of Applied Mechanics, Transactions ASME",78,4,41014,,,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955055989&partnerID=40&md5=9b817be74e03c20cb0ce71a1f8056775,Article,Scopus,2-s2.0-79955055989
"Cyrtodactylus martini, another new karst-dwelling Cyrtodactylus Gray, 1827 (Squamata: Gekkonidae) from northwestern Vietnam",2011,Zootaxa,,2834,,33,46,,14,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955427580&partnerID=40&md5=018258e51588511fee7d906622bb3e4d,Article,Scopus,2-s2.0-79955427580
A Method for a solution of equilibrium problem and fixed point problem of a nonexpansive semigroup in Hilbert's spaces,2011,Fixed Point Theory and Applications,2011,,208434,,,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955031192&partnerID=40&md5=21a95ffb86cb1b644f5185afd2911287,Article,Scopus,2-s2.0-79955031192
Synthesis of LaCrO3 at low temperature by the poly(vinyl alcohol) gel combustion method,2011,Asian Journal of Chemistry,23,5,,2061,2063,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79954624537&partnerID=40&md5=bbb8c01aa248df2e4534d484bf918cec,Article,Scopus,2-s2.0-79954624537
An improvement of the Nevanlinna-Gundersen theorem,2011,Journal of Mathematical Analysis and Applications,376,2,,656,674,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650702445&partnerID=40&md5=58e2a31d32e798ec46f87bb9da1bd172,Article,Scopus,2-s2.0-78650702445
On an elliptic equation of p-Laplacian type with nonlinear boundary condition,2011,Boletim da Sociedade Paranaense de Matematica,29,2,,43,49,,2,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953750112&partnerID=40&md5=3c7c6d5b685a289af2942108b4f7a9e7,Article,Scopus,2-s2.0-79953750112
Strong convergence of iterative sequence to a common fixed point of a finite family nonexpansive mappings in banach spaces,2011,International Journal of Mathematical Analysis,5,1åé4ì˙,,135,144,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953735674&partnerID=40&md5=4827d221329adb392767a0367f671388,Article,Scopus,2-s2.0-79953735674
Completions of fans,2011,Journal of Geometry,100,1åé2ì˙,,147,169,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80255123904&partnerID=40&md5=d209e31f0a2a4c962166cc9680d2c971,Article,Scopus,2-s2.0-80255123904
